,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2020-01-30,EQ,232.3,232.75,228.2,232.3,229.6,231.5,230.56,238.35,113.0,2192123,505417129.4,12795,ADANIENT
1,2020-01-29,EQ,231.7,238.35,231.0,229.9,231.75,232.3,234.67,238.35,113.0,3738186,877250878.8,23294,ADANIENT
2,2020-01-28,EQ,232.25,234.5,229.1,230.55,229.3,229.9,231.75,236.45,113.0,2161711,500970683.8,16321,ADANIENT
3,2020-01-27,EQ,229.5,236.45,226.05,229.75,230.7,230.55,233.17,236.45,113.0,5293975,1234387488.45,36646,ADANIENT
4,2020-01-24,EQ,225.5,232.4,219.0,229.6,229.0,229.75,226.83,232.4,113.0,7154795,1622948894.6,41155,ADANIENT
5,2020-01-23,EQ,226.0,231.2,225.75,225.9,228.7,229.6,229.03,232.25,113.0,2650092,606961652.9,15737,ADANIENT
6,2020-01-22,EQ,224.8,228.0,221.15,224.25,225.4,225.9,225.51,232.25,113.0,2939366,662858695.85,19573,ADANIENT
7,2020-01-21,EQ,224.35,227.0,220.5,226.55,223.65,224.25,224.05,232.25,113.0,2813526,630368841.25,19279,ADANIENT
8,2020-01-20,EQ,229.55,232.25,224.15,228.4,225.95,226.55,227.45,232.25,113.0,4546367,1034066184.25,31281,ADANIENT
9,2020-01-17,EQ,216.0,229.25,213.7,220.0,227.75,228.4,222.44,229.25,113.0,10810744,2404752505.95,48991,ADANIENT
10,2020-01-16,EQ,217.7,222.5,217.0,216.6,219.5,220.0,220.12,222.5,113.0,4280379,942179752.45,27655,ADANIENT
11,2020-01-15,EQ,214.5,218.0,212.5,214.35,218.0,216.6,215.4,221.5,113.0,1982079,426937660.75,11161,ADANIENT
12,2020-01-14,EQ,213.45,215.5,211.85,213.6,213.05,214.35,213.78,221.5,113.0,1775182,379506359.7,10469,ADANIENT
13,2020-01-13,EQ,210.65,216.25,209.6,209.1,212.6,213.6,213.6,221.5,113.0,3527267,753432390.9,20596,ADANIENT
14,2020-01-10,EQ,208.0,213.0,205.9,208.0,210.5,209.1,208.64,221.5,113.0,2769132,577749576.2,16595,ADANIENT
15,2020-01-09,EQ,201.9,208.9,201.9,201.5,208.0,208.0,205.9,221.5,113.0,3496063,719831005.25,20369,ADANIENT
16,2020-01-08,EQ,201.0,203.55,194.55,204.05,200.5,201.5,199.39,221.5,113.0,5762654,1149028631.95,35823,ADANIENT
17,2020-01-07,EQ,200.55,205.7,200.55,199.55,202.95,204.05,203.44,221.5,113.0,2966120,603438498.4,17757,ADANIENT
18,2020-01-06,EQ,207.75,207.75,197.75,208.3,199.35,199.55,200.83,221.5,113.0,4353179,874253932.35,25330,ADANIENT
19,2020-01-03,EQ,210.25,212.35,205.8,211.2,208.35,208.3,208.83,221.5,113.0,2512421,524673620.55,14792,ADANIENT
20,2020-01-02,EQ,208.0,213.2,207.5,207.85,210.9,211.2,210.76,221.5,113.0,2991937,630593790.0,19649,ADANIENT
21,2020-01-01,EQ,209.0,210.45,206.65,208.35,207.55,207.85,208.21,221.5,113.0,1553127,323377254.4,10641,ADANIENT
22,2019-12-31,EQ,208.7,210.75,207.65,208.65,207.7,208.35,208.95,221.5,113.0,1600059,334327365.75,9191,ADANIENT
23,2019-12-30,EQ,209.9,211.6,208.0,209.1,208.35,208.65,209.53,221.5,113.0,1938731,406227550.7,13068,ADANIENT
24,2019-12-27,EQ,209.05,211.2,207.1,208.95,210.0,209.1,209.33,221.5,113.0,2240503,469015593.35,12271,ADANIENT
25,2019-12-26,EQ,208.95,211.1,205.6,209.15,210.45,208.95,208.15,221.5,113.0,3299177,686718470.15,19516,ADANIENT
26,2019-12-24,EQ,214.55,216.95,207.6,214.55,208.85,209.15,212.21,221.5,113.0,2984621,633360473.55,18225,ADANIENT
27,2019-12-23,EQ,217.75,220.8,212.4,218.8,214.5,214.55,216.54,221.5,113.0,3709426,803238280.95,32301,ADANIENT
28,2019-12-20,EQ,210.0,220.8,209.5,210.55,217.6,218.8,217.04,221.5,113.0,6997898,1518804929.75,42167,ADANIENT
29,2019-12-19,EQ,207.65,211.0,206.75,208.15,210.5,210.55,209.58,221.5,113.0,2180662,457029411.7,12855,ADANIENT
30,2019-12-18,EQ,211.8,212.45,205.6,211.2,207.8,208.15,208.15,221.5,113.0,2542320,529190668.65,15181,ADANIENT
31,2019-12-17,EQ,210.5,213.2,210.0,210.5,211.15,211.2,211.29,221.5,113.0,1968218,415859379.7,9914,ADANIENT
32,2019-12-16,EQ,212.1,213.25,209.4,212.2,209.7,210.5,211.11,221.5,113.0,2184582,461186998.7,12092,ADANIENT
33,2019-12-13,EQ,210.5,213.25,208.5,210.4,211.85,212.2,211.42,221.5,113.0,2867800,606312865.0,19513,ADANIENT
34,2019-12-12,EQ,206.9,212.35,206.6,206.15,209.35,210.4,209.43,221.5,113.0,2958155,619522422.7,22984,ADANIENT
35,2019-12-11,EQ,203.1,207.8,202.65,204.2,205.6,206.15,205.36,221.5,113.0,2155584,442668476.95,17013,ADANIENT
36,2019-12-10,EQ,207.45,208.2,203.3,207.45,203.35,204.2,205.43,221.5,113.0,2139886,439587492.1,12408,ADANIENT
37,2019-12-09,EQ,205.9,209.7,202.4,206.5,207.35,207.45,206.88,221.5,113.0,2550809,527711887.75,16388,ADANIENT
38,2019-12-06,EQ,208.45,210.05,205.05,208.4,205.05,206.5,207.34,221.5,113.0,1958477,406062014.65,12979,ADANIENT
39,2019-12-05,EQ,213.0,213.7,207.35,212.45,207.65,208.4,209.56,221.5,113.0,2309030,483882449.85,15157,ADANIENT
40,2019-12-04,EQ,205.8,213.5,205.3,207.85,212.5,212.45,210.11,221.5,113.0,2917279,612936447.6,19342,ADANIENT
41,2019-12-03,EQ,208.0,209.95,203.55,209.0,206.7,207.85,206.76,221.5,113.0,2382612,492633069.9,16193,ADANIENT
