DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2020-01-30,EQ,191.4,192.35,187.5,191.05,188.2,187.95,189.81,271.45,177.7,10859103,2061122861.25,55217,COALINDIA
2020-01-29,EQ,191.0,193.0,188.0,189.15,191.1,191.05,191.53,271.45,177.7,10602818,2030752998.95,60651,COALINDIA
2020-01-28,EQ,193.9,194.25,188.4,193.35,189.5,189.15,190.07,271.45,177.7,10274562,1952889525.2,55958,COALINDIA
2020-01-27,EQ,193.95,195.0,192.0,193.95,193.0,193.35,193.65,271.45,177.7,7195361,1393377601.3,33802,COALINDIA
2020-01-24,EQ,193.0,196.3,192.15,190.75,194.4,193.95,194.19,271.45,177.7,10626281,2063466178.6,63929,COALINDIA
2020-01-23,EQ,192.05,195.2,189.85,191.9,191.4,190.75,192.07,271.45,177.7,16369722,3144130599.5,71162,COALINDIA
2020-01-22,EQ,199.1,199.4,190.95,202.15,191.55,191.9,193.98,271.45,177.7,19096395,3704388205.5,105972,COALINDIA
2020-01-21,EQ,201.15,205.25,201.15,201.15,202.35,202.15,203.65,271.45,177.7,6347967,1292769079.3,43002,COALINDIA
2020-01-20,EQ,208.0,209.8,200.5,207.9,202.2,201.15,205.26,271.45,177.7,8110607,1664808518.2,45643,COALINDIA
2020-01-17,EQ,210.0,210.55,206.1,210.25,208.1,207.9,208.09,271.45,177.7,5985342,1245494975.25,41319,COALINDIA
2020-01-16,EQ,212.45,212.7,207.1,212.45,210.2,210.25,210.29,271.45,177.7,6937929,1458985085.9,48580,COALINDIA
2020-01-15,EQ,212.6,214.6,211.3,212.95,212.4,212.45,213.05,271.45,177.7,4863227,1036104173.5,31945,COALINDIA
2020-01-14,EQ,211.15,213.5,209.75,211.55,213.0,212.95,211.69,271.45,177.7,5417581,1146822954.25,31792,COALINDIA
2020-01-13,EQ,205.3,212.0,205.0,205.3,211.6,211.55,210.18,271.45,177.7,9863555,2073104016.9,55913,COALINDIA
2020-01-10,EQ,199.15,206.55,198.95,198.0,204.5,205.3,204.41,271.45,177.7,13533598,2766454309.25,79389,COALINDIA
2020-01-09,EQ,203.25,203.7,197.35,200.2,197.95,198.0,198.82,271.45,177.7,10321169,2052103333.65,60490,COALINDIA
2020-01-08,EQ,203.0,204.55,198.2,205.7,200.5,200.2,201.61,271.45,177.7,7295998,1470923022.75,45845,COALINDIA
2020-01-07,EQ,206.5,208.2,204.35,205.7,205.75,205.7,206.51,271.45,177.7,5243225,1082764694.15,44407,COALINDIA
